Date,Holiday
1/1/19,New Year's Day
1/21/19,Martin Luther King Jr. Day
2/18/19,Presidents' Day
5/27/19,Memorial Day
7/4/19,Independence Day
9/2/19,Labor Day
10/14/19,Columbus Day
11/11/19,Veterans Day
11/28/19,Thanksgiving Day
12/24/19,Christmas Eve
12/25/19,Christmas Day
1/1/20,New Year's Day
1/20/20,Martin Luther King Jr. Day
2/17/20,Presidents' Day
5/25/20,Memorial Day
7/4/20,Independence Day
9/7/20,Labor Day
10/12/20,Columbus Day
11/11/20,Veterans Day
11/26/20,Thanksgiving Day
12/24/20,Christmas Eve
12/25/20,Christmas Day
